1-0	4-nummod	1-nsubj
164-5	2-dobj	4-nmod
164-6	5-dep	5-nmod
164-7	6-dep	6-nmod
164-8	9-case	7-nmod
164-9	7-nmod	8-nmod
164-10	12-case	9-nmod
164-11	12-nmodCOLposs	10-nmod
164-12	9-nmod	11-nmod
164-13	14-case	12-nmod
164-14	7-nmod	13-nmod
164-15	0-punct	3-punct

165-0	1-amod	22-root
165-1	6-dep	0-nmod
165-2	6-aux	1-nmod
165-3	6-nsubjpass	2-nmod
165-4	3-name	3-nmod
165-5	6-auxpass	4-nmod
165-6	22-root	5-nmod
165-7	9-case	6-nmod
165-8	9-det	7-nmod
165-9	6-nmod	7-nmod
165-10	13-punct	0-punct
165-11	13-mark	12-mark
165-12	13-nsubj	0-nmod
165-13	6-dep	12-nmod
165-14	15-case	13-nmod
165-15	13-nmod	14-nmod
165-16	13-dep	15-nmod
165-17	16-dep	22-root
165-18	17-dep	17-nmod
165-19	20-case	18-nmod
165-20	18-nmod	19-nmod
165-21	6-punct	17-punct

166-0	21-root	1-cc
166-1	2-advmod	21-root
166-2	0-conj	1-nmod
166-3	2-nsubj	2-nmod
166-4	2-advmod	3-nmod
166-5	2-dobj	4-nmod
166-6	7-punct	1-punct
166-7	2-advmod	1-nmod
166-8	7-mark	9-mark
166-9	10-nsubj	21-root
166-10	7-dep	9-nmod
166-11	10-iobj	10-nmod
166-12	10-dobj	11-nmod
166-13	12-cc	12-cc
166-14	16-det	21-root
166-15	16-amod	14-nmod
166-16	12-conj	15-nmod
166-17	19-case	21-root
166-18	19-amod	17-nmod
166-19	16-nmod	18-nmod
166-20	0-punct	17-punct

167-0	8-advmod	17-root
167-1	17-root	0-nmod
167-2	6-mark	3-mark
167-3	6-nsubj	0-nmod
167-4	6-neg	3-nmod
167-5	6-aux	4-nmod
167-6	1-dep	5-nmod
167-7	6-punct	0-punct
167-8	1-cc	0-nmod
167-9	1-conj	8-nmod
167-10	9-dep	17-root
167-11	10-dep	10-nmod
167-12	15-det	10-nmod
167-13	14-advmod	10-advmod
167-14	15-amod	13-nmod
167-15	11-dobj	14-nmod
167-16	1-punct	10-punct

168-0	13-root	1-cc
168-1	2-nsubj	13-root
168-2	0-conj	1-nmod
168-3	2-dobj	2-nmod
168-4	3-dep	3-nmod
168-5	6-case	4-nmod
168-6	4-nmod	5-nmod
168-7	8-case	6-nmod
168-8	6-nmod	7-nmod
168-9	4-nmodCOLloc	8-nmod
168-10	11-case	9-nmod
168-11	9-nmod	10-nmod
168-12	0-punct	1-punct

169-0	3-root	3-root
169-1	2-det	0-nmod
169-2	0-dobj	1-nmod

170-0	2-punct	1-punct
170-1	2-expl	23-root
170-2	23-root	1-nmod
170-3	2-advmod	1-advmod
170-4	2-dobj	3-nmod
170-5	7-punct	3-punct
170-6	7-nsubj	3-nmod
170-7	4-aclCOLrelcl	6-nmod
170-8	11-punct	1-punct
170-9	11-mark	10-mark
170-10	11-nsubj	1-nmod
170-11	7-dobj	10-nmod
170-12	13-det	11-nmod
170-13	11-dobj	12-nmod
170-14	11-punct	1-punct
170-15	13-conj	1-nmod
170-16	11-cc	15-cc
170-17	11-conj	15-nmod
170-18	17-dobj	17-nmod
170-19	18-dep	23-root
170-20	21-det	23-root
170-21	19-dep	20-nmod
170-22	2-punct	20-punct

171-0	27-root	27-root
171-1	14-dep	0-nmod
171-2	1-dep	27-root
171-3	2-dep	2-nmod
171-4	6-det	3-nmod
171-5	6-amod	3-nmod
171-6	3-dobj	5-nmod
171-7	3-cc	2-cc
171-8	3-conj	2-nmod
171-9	8-dobj	8-nmod
171-10	12-case	9-nmod
171-11	12-amod	10-nmod
171-12	9-nmod	11-nmod
171-13	1-punct	2-punct
171-14	0-dep	2-nmod
171-15	14-nsubj	14-nmod
171-16	14-advmod	15-nmod
171-17	19-det	16-nmod
171-18	19-amod	17-nmod
171-19	14-dobj	27-root
171-20	14-dep	19-nmod
171-21	24-punct	19-punct
171-22	24-mark	23-mark
171-23	24-nsubj	27-root
171-24	14-dep	23-nmod
171-25	24-dobj	24-nmod
171-26	0-punct	23-punct

172-0	1-nsubj	1-expl
172-1	4-root	4-root
172-2	1-dobj	1-nmod
172-3	1-punct	1-punct

173-0	10-root	1-cc
173-1	7-nsubj	2-nmod
173-2	7-cop	10-root
173-3	7-advmod	2-nmod
173-4	0-conj	2-nmod
173-5	7-punct	2-punct
173-6	7-neg	2-nmod
173-7	4-cop	6-nmod
173-8	0-punct	2-punct
173-9	0-punct	2-punct

174-0	2-nsubj	29-root
174-1	0-name	0-nmod
174-2	29-root	1-nmod
174-3	6-det	2-nmod
174-4	6-det	3-nmod
174-5	6-amod	4-nmod
174-6	2-dobj	5-nmod
174-7	10-case	6-nmod
174-8	10-nmod	7-nmod
174-9	10-nmodCOLposs	8-nmod
174-10	6-nmod	9-nmod
174-11	6-punct	0-punct
174-12	16-punct	0-punct
174-13	15-case	29-root
174-14	15-det	13-nmod
174-15	16-nmod	14-nmod
174-16	6-dep	15-nmod
174-17	16-nsubj	16-nmod
174-18	20-det	17-nmod
174-19	20-amod	18-nmod
174-20	16-dobj	19-nmod
174-21	20-punct	18-punct
174-22	25-nsubj	29-root
174-23	25-advmod	22-nmod
174-24	25-cop	23-nmod
174-25	20-cop	24-nmod
174-26	27-mark	24-case
174-27	25-dep	26-nmod
174-28	16-punct	22-punct

175-0	1-punct	1-punct
175-1	10-dep	13-root
175-2	1-vocative	1-nmod
175-3	1-punct	1-punct
175-4	7-cop	13-root
175-5	7-nsubj	4-nmod
175-6	7-neg	5-nmod
175-7	1-conj	6-nmod
175-8	7-punct	4-punct
175-9	1-punct	4-punct
175-10	13-root	4-nmod
175-11	10-nsubj	10-nmod
175-12	10-punct	4-punct

176-0	1-dobj	1-expl
176-1	30-root	30-root
176-2	1-nsubj	1-nmod
176-3	1-neg	2-nmod
176-4	1-punct	1-punct
176-5	6-nsubj	1-nmod
176-6	1-conj	5-nmod
176-7	9-det	5-nmod
176-8	9-det	7-nmod
176-9	6-dobj	8-nmod
176-10	6-punct	1-punct
176-11	6-cc	1-cc
176-12	13-nsubj	30-root
176-13	6-conj	12-nmod
176-14	13-dobj	13-nmod
176-15	16-case	30-root
176-16	13-nmod	15-nmod
176-17	6-cc	16-cc
176-18	6-conj	16-nmod
176-19	18-punct	15-punct
176-20	21-punct	15-punct
176-21	18-dep	30-root
176-22	21-vocative	21-nmod
176-23	21-punct	21-punct
176-24	25-nsubj	30-root
176-25	21-conj	24-nmod
176-26	27-det	27-neg
176-27	25-dobj	25-nmod
176-28	21-punct	24-punct
176-29	21-punct	24-punct

177-0	4-nsubj	22-root
177-1	4-aux	0-nmod
177-2	4-cop	1-nmod
177-3	4-nummod	2-nummod
177-4	22-root	3-nmod
177-5	8-punct	0-punct
177-6	8-mark	7-mark
177-7	8-nsubj	0-nmod
177-8	4-dep	0-nmod
177-9	10-det	8-nmod
177-10	8-dobj	9-nmod
177-11	14-case	10-nmod
177-12	14-det	9-nmod
177-13	14-amod	9-nmod
177-14	10-nmod	9-nmod
177-15	16-case	22-root
177-16	8-nmod	15-nmod
177-17	8-punct	16-punct
177-18	16-appos	22-root
177-19	18-dep	18-nmod
177-20	18-punct	18-punct
177-21	4-punct	18-punct

178-0	1-det	16-root
178-1	3-nsubj	0-nmod
178-2	3-cop	1-nmod
178-3	16-root	2-nmod
178-4	3-name	3-nmod
178-5	3-name	4-nmod
178-6	3-punct	0-punct
178-7	3-dep	0-nmod
178-8	9-amod	7-nmod
178-9	7-nmodCOLtemp	8-nmod
178-10	9-nmod	9-nummod
178-11	13-case	12-advmodCOLemph
178-12	13-nmodCOLposs	10-nmod
178-13	7-nmod	12-nmod
178-14	13-appos	13-nmod
178-15	3-punct	0-punct

179-0	75-root	1-cc
179-1	2-advmod	75-root
179-2	0-conj	1-nmod
179-3	2-nsubj	2-nmod
179-4	2-advmod	2-nmod
179-5	7-det	4-nmod
179-6	7-amod	4-nmod
179-7	2-dobj	6-nmod
179-8	2-dep	11-advmodCOLemph
179-9	8-nummod	8-nummod
179-10	13-punct	8-punct
179-11	13-advmod	7-nmod
179-12	13-nsubj	11-nmod
179-13	9-aclCOLrelcl	12-nmod
179-14	15-det	13-nmod
179-15	13-dobj	14-nmod
179-16	18-case	15-nmod
179-17	13-punct	15-punct
179-18	13-nmod	75-root
179-19	18-dep	18-nmod
179-20	18-punct	18-punct
179-21	13-punct	18-punct
179-22	2-cc	18-cc
179-23	53-nsubj	75-root
179-24	26-case	23-nmod
179-25	26-advmod	24-nmod
179-26	23-nmod	25-nmod
179-27	26-name	26-nmod
179-28	26-punct	23-punct
179-29	26-conj	23-nmod
179-30	29-dep	29-nmod
179-31	26-punct	23-punct
179-32	26-conj	23-nmod
179-33	26-punct	23-punct
179-34	26-conj	23-nmod
179-35	34-dep	34-nmod
179-36	26-punct	23-punct
179-37	26-conj	23-nmod
179-38	37-dep	37-nmod
179-39	26-punct	23-punct
179-40	26-conj	23-nmod
179-41	40-dep	75-root
179-42	40-dep	41-nmod
179-43	26-cc	41-cc
179-44	46-nmodCOLposs	43-nmod
179-45	44-name	44-nmod
179-46	26-conj	45-nmod
179-47	44-appos	46-nmod
179-48	47-name	47-nmod
179-49	53-aux	48-nmod
179-50	53-advmod	48-advmod
179-51	52-advmod	50-nmod
179-52	53-advmod	50-nmod
179-53	2-conj	52-nmod
179-54	53-dobj	53-nmod
179-55	56-case	59-advmodCOLemph
179-56	53-nmod	55-nmod
179-57	53-cc	55-cc
179-58	53-conj	55-nmod
179-59	58-advmod	41-advmod
179-60	59-cc	59-cc
179-61	59-conj	59-advmod
179-62	58-dep	61-nmod
179-63	68-punct	61-punct
179-64	68-mark	65-mark
179-65	68-nsubj	61-nmod
179-66	65-name	65-nmod
179-67	65-name	65-nmod
179-68	62-dep	67-nmod
179-69	70-case	68-nmod
179-70	68-nmod	69-nmod
179-71	68-advmod	70-nmod
179-72	71-dep	75-root
179-73	72-nummod	72-nummod
179-74	0-punct	72-punct

180-0	3-nmodCOLposs	20-root
180-1	0-name	0-nmod
180-2	0-name	0-nmod
180-3	18-nsubj	2-nmod
180-4	6-case	3-nmod
180-5	6-det	4-nmod
180-6	3-nmod	5-nmod
180-7	0-dep	10-mark
180-8	7-dep	7-nmod
180-9	7-cc	7-cc
180-10	11-advmod	6-nmod
180-11	7-conj	20-root
180-12	11-dep	11-nmod
180-13	18-aux	12-nmod
180-14	18-cop	13-nmod
180-15	16-det	14-nmod
180-16	18-amod	15-nmod
180-17	16-dep	16-case
180-18	20-root	17-nmod
180-19	18-punct	11-punct

181-0	2-nsubj	32-root
181-1	0-name	0-nmod
181-2	32-root	1-nmod
181-3	7-det	2-nmod
181-4	6-advmod	0-advmod
181-5	4-punct	4-punct
181-6	7-amod	4-nmod
181-7	2-dobj	6-nmod
181-8	7-punct	4-punct
181-9	27-dep	32-root
181-10	23-nsubj	32-root
181-11	10-name	10-nmod
181-12	10-cc	10-cc
181-13	10-conj	10-nmod
181-14	13-appos	10-nmod
181-15	14-name	14-nmod
181-16	14-cc	15-cc
181-17	14-conj	15-nmod
181-18	17-name	17-nmod
181-19	20-case	20-advmodCOLemph
181-20	13-nmod	18-nmod
181-21	20-dep	20-nmod
181-22	23-aux	21-nmod
181-23	7-aux	22-nmod
181-24	23-advmod	10-advmod
181-25	24-cc	24-cc
181-26	24-conj	24-advmod
181-27	23-dep	26-nmod
181-28	30-case	27-nmod
181-29	30-nummod	30-nummod
181-30	23-nmod	26-nmod
181-31	2-punct	10-punct

182-0	13-root	1-cc
182-1	3-nsubj	13-root
182-2	1-amod	1-nmod
182-3	0-conj	2-nmod
182-4	3-punct	1-punct
182-5	6-nsubj	13-root
182-6	3-dep	5-nmod
182-7	6-dobj	6-nmod
182-8	10-advmod	7-nmod
182-9	10-advmod	8-nmod
182-10	11-case	13-root
182-11	6-nmod	10-nmod
182-12	0-punct	10-punct

183-0	1-amod	14-root
183-1	3-nsubj	0-nmod
183-2	3-aux	1-nmod
183-3	14-root	2-nmod
183-4	3-punct	0-punct
183-5	3-conj	0-nmod
183-6	3-punct	0-punct
183-7	3-conj	0-nmod
183-8	3-cc	0-cc
183-9	3-conj	0-nmod
183-10	11-case	9-nmod
183-11	3-nmod	10-nmod
183-12	11-dep	11-nmod
183-13	3-punct	0-punct

184-0	3-nsubj	7-root
184-1	3-cop	0-nmod
184-2	3-det	1-nmod
184-3	7-root	2-nmod
184-4	3-cc	3-cc
184-5	3-conj	3-nmod
184-6	3-punct	0-punct

185-0	1-det	5-root
185-1	5-root	0-nmod
185-2	3-nsubj	5-root
185-3	1-aux	2-nmod
185-4	1-punct	2-punct

186-0	1-case	4-advmodCOLemph
186-1	2-nmod	0-nmod
186-2	11-root	1-nmod
186-3	2-expl	2-nmod
186-4	2-advmod	5-advmod
186-5	9-case	11-root
186-6	8-det	5-nmod
186-7	8-amod	5-nmod
186-8	9-nmodCOLposs	7-nmod
186-9	2-nmod	8-nmod
186-10	2-punct	5-punct

187-0	1-nsubj	14-root
187-1	14-root	0-nmod
187-2	1-dobj	0-nmod
187-3	5-case	0-nmod
187-4	5-dep	3-nmod
187-5	1-nmod	4-nmod
187-6	9-punct	0-punct
187-7	9-mark	8-mark
187-8	9-nsubj	0-nmod
187-9	1-dep	8-nmod
187-10	9-dobj	9-nmod
187-11	12-case	10-nmod
187-12	9-nmod	11-nmod
187-13	1-punct	0-punct

188-0	1-advmod	2-conj
188-1	24-root	0-nmod
188-2	1-nsubj	24-root
188-3	1-dobj	2-nmod
188-4	1-dep	3-nmod
188-5	4-dep	4-nmod
188-6	5-dep	5-nmod
188-7	8-advmod	6-nmod
188-8	9-amod	6-nmod
188-9	6-dobj	8-nmod
188-10	1-punct	5-punct
188-11	1-conj	5-nmod
188-12	11-dobj	11-nmod
188-13	1-cc	12-cc
188-14	1-conj	13-nmod
188-15	14-dobj	14-nmod
188-16	17-case	15-nmod
188-17	14-nmod	16-nmod
188-18	17-dep	17-nmod
188-19	18-dep	24-root
188-20	19-dep	19-nmod
188-21	22-case	20-nmod
188-22	20-nmod	21-nmod
188-23	1-punct	19-punct

189-0	1-nmod	1-expl
189-1	26-root	26-root
189-2	1-expl	1-nmod
189-3	1-dep	2-nmod
189-4	5-advmod	2-nmod
189-5	3-advmod	4-nmod
189-6	1-neg	5-nmod
189-7	8-det	6-nmod
189-8	1-dobj	7-nmod
189-9	0-case	7-nmod
189-10	11-punct	1-punct
189-11	1-dep	10-nmod
189-12	16-mark	13-mark
189-13	16-nsubj	11-nmod
189-14	16-advmod	13-nmod
189-15	16-aux	14-nmod
189-16	11-dep	15-nmod
189-17	16-dobj	16-nmod
189-18	17-dep	17-nmod
189-19	20-case	18-nmod
189-20	18-nmod	19-nmod
189-21	22-mark	17-case
189-22	24-case	21-nmod
189-23	24-amod	22-nmod
189-24	17-nmod	23-nmod
189-25	1-punct	1-punct

190-0	1-advmod	29-root
190-1	29-root	0-nmod
190-2	4-det	1-nmod
190-3	4-amod	2-nmod
190-4	1-nsubj	3-nmod
190-5	8-case	4-nmod
190-6	8-det	5-nmod
190-7	8-amod	6-nmod
190-8	4-nmod	7-nmod
190-9	4-dep	8-nmod
190-10	11-det	9-nmod
190-11	9-amod	9-nmod
190-12	14-det	11-nmod
190-13	14-amod	12-nmod
190-14	1-dobj	12-nmod
190-15	1-punct	0-punct
190-16	1-conj	0-cc
190-17	18-nsubj	16-nmod
190-18	16-conj	17-nmod
190-19	18-advmod	18-nmod
190-20	21-advmod	19-nmod
190-21	18-neg	20-nmod
190-22	18-dep	21-nmod
190-23	22-dep	22-nmod
190-24	27-case	23-nmod
190-25	27-det	29-root
190-26	27-amod	25-nmod
190-27	18-nmod	26-nmod
190-28	1-punct	25-punct

191-0	4-nsubj	1-expl
191-1	4-cop	8-root
191-2	4-det	1-nmod
191-3	4-amod	2-nmod
191-4	8-root	3-nmod
191-5	6-case	4-nmod
191-6	4-nmod	5-nmod
191-7	4-punct	1-punct

192-0	4-nsubj	20-root
192-1	0-nmod	0-nmod
192-2	4-cop	1-nmod
192-3	4-advmod	2-nmod
192-4	20-root	3-nmod
192-5	8-punct	0-punct
192-6	8-nsubj	0-nmod
192-7	8-advmod	6-nmod
192-8	4-aclCOLrelcl	0-nmod
192-9	8-dep	8-nmod
192-10	15-punct	0-punct
192-11	15-advmod	0-nmod
192-12	15-det	11-nmod
192-13	15-dep	12-cc
192-14	15-det	12-nmod
192-15	4-appos	14-nmod
192-16	15-dep	20-root
192-17	18-amod	20-root
192-18	16-dep	17-nmod
192-19	4-punct	17-punct

193-0	4-nsubj	1-expl
193-1	4-cop	18-root
193-2	4-neg	1-nmod
193-3	4-amod	2-nmod
193-4	18-root	3-nmod
193-5	6-case	4-nmod
193-6	4-nmod	5-nmod
193-7	6-dep	6-nmod
193-8	0-dep	7-nmod
193-9	8-dep	8-nmod
193-10	14-punct	1-punct
193-11	14-mark	12-mark
193-12	14-nsubj	1-nmod
193-13	14-advmod	12-nmod
193-14	9-dobj	13-nmod
193-15	16-det	18-root
193-16	14-dobj	15-nmod
193-17	4-punct	15-punct

194-0	8-root	1-cc
194-1	0-conj	8-root
194-2	1-dobj	1-nmod
194-3	1-dep	2-nmod
194-4	6-det	3-nmod
194-5	6-amod	4-nmod
194-6	3-dobj	5-nmod
194-7	0-punct	1-punct

195-0	1-amod	12-root
195-1	2-nsubj	0-nmod
195-2	9-dep	1-nmod
195-3	2-neg	2-nmod
195-4	2-dep	3-nmod
195-5	4-dep	4-nmod
195-6	5-dep	5-nmod
195-7	6-dep	6-nmod
195-8	2-punct	5-punct
195-9	12-root	5-nmod
195-10	9-nsubj	9-nmod
195-11	9-punct	0-punct

196-0	7-punct	1-punct
196-1	3-advmod	26-root
196-2	5-dep	1-nmod
196-3	2-cc	2-cc
196-4	2-conj	2-nmod
196-5	7-nsubj	4-nmod
196-6	7-aux	5-nmod
196-7	21-dep	6-nmod
196-8	7-dobj	7-nmod
196-9	12-case	8-nmod
196-10	12-det	9-nmod
196-11	12-amod	10-nmod
196-12	8-nmod	11-nmod
196-13	14-case	12-nmod
196-14	12-nmod	13-nmod
196-15	14-cc	8-cc
196-16	14-conj	15-nmod
196-17	18-case	21-advmodCOLemph
196-18	14-nmod	17-nmod
196-19	7-punct	17-punct
196-20	7-punct	17-punct
196-21	26-root	16-nmod
196-22	21-nsubj	21-nmod
196-23	22-name	22-nmod
196-24	22-name	23-nmod
196-25	21-punct	1-punct

197-0	1-case	45-root
197-1	45-root	0-nmod
197-2	1-cc	0-cc
197-3	1-conj	0-nmod
197-4	5-case	3-nmod
197-5	0-nmod	4-nmod
197-6	8-punct	3-punct
197-7	8-nsubj	45-root
197-8	5-aclCOLrelcl	7-nmod
197-9	8-advmod	8-nmod
197-10	11-case	9-nmod
197-11	9-nmod	10-nmod
197-12	13-case	11-nmod
197-13	11-nmod	12-nmod
197-14	13-cc	11-cc
197-15	13-conj	11-nmod
197-16	20-case	7-nmod
197-17	8-punct	7-punct
197-18	20-det	7-nmod
197-19	20-amod	18-nmod
197-20	8-nmod	19-nmod
197-21	22-case	20-nmod
197-22	20-nmod	20-nmod
197-23	20-punct	7-punct
197-24	25-nsubj	7-nmod
197-25	20-dep	24-nmod
197-26	25-advmod	25-nmod
197-27	26-dep	26-nmod
197-28	27-dep	27-nmod
197-29	28-dep	28-nmod
197-30	33-advmod	29-nmod
197-31	33-det	30-nmod
197-32	33-amod	31-nmod
197-33	29-dobj	32-nmod
197-34	29-dep	45-root
197-35	40-det	45-root
197-36	37-advmod	35-nmod
197-37	40-amod	36-nmod
197-38	40-punct	35-punct
197-39	40-advmod	35-advmod
197-40	34-amod	39-nmod
197-41	40-cc	40-cc
197-42	40-conj	40-nmod
197-43	20-punct	39-punct
197-44	0-punct	35-punct

198-0	3-punct	1-punct
198-1	3-nsubj	12-root
198-2	3-aux	1-nmod
198-3	12-root	2-nmod
198-4	6-det	3-nmod
198-5	6-amod	3-nmod
198-6	3-dobj	5-nmod
198-7	8-case	12-root
198-8	6-nmod	7-nmod
198-9	8-cc	8-cc
198-10	8-conj	8-nmod
198-11	3-punct	7-punct

199-0	1-det	41-root
199-1	38-dep	0-nmod
199-2	1-punct	0-punct
199-3	5-advmod	0-nmod
199-4	5-nsubj	3-nmod
199-5	1-dep	4-nmod
199-6	5-dobj	5-nmod
199-7	5-dep	5-nmod
199-8	5-dep	7-nmod
199-9	8-dep	8-nmod
199-10	9-dep	9-nmod
199-11	12-advmod	10-nmod
199-12	13-amod	11-nmod
199-13	10-dobj	12-nmod
199-14	18-punct	0-punct
199-15	18-mark	16-mark
199-16	18-nsubj	0-nmod
199-17	18-advmod	16-nmod
199-18	11-dep	17-nmod
199-19	20-case	20-advmodCOLemph
199-20	18-nmod	18-nmod
199-21	20-dep	20-nmod
199-22	23-advmod	21-nmod
199-23	21-dep	22-nmod
199-24	23-dep	23-nmod
199-25	18-punct	23-punct
199-26	24-dobj	41-root
199-27	31-nsubj	26-nmod
199-28	29-case	27-nmod
199-29	31-nmod	27-nmod
199-30	31-cop	29-nmod
199-31	26-aclCOLrelcl	30-nmod
199-32	31-cc	31-cc
199-33	31-conj	31-nmod
199-34	35-case	41-root
199-35	31-nmod	34-nmod
199-36	31-punct	34-punct
199-37	1-punct	34-punct
199-38	41-root	34-nmod
199-39	38-nsubj	38-nmod
199-40	38-punct	34-punct

200-0	1-expl	10-root
200-1	10-root	0-nmod
200-2	1-dobj	0-advmod
200-3	2-amod	2-nmod
200-4	6-case	3-nmod
200-5	6-amod	4-nmod
200-6	3-nmod	5-nmod
200-7	8-case	10-root
200-8	1-nmod	7-nmod
200-9	1-punct	7-punct

201-0	1-nsubj	40-root
201-1	40-root	0-nmod
201-2	4-det	1-nmod
201-3	4-amod	2-nmod
201-4	1-dobj	3-nmod
201-5	1-punct	0-punct
201-6	10-punct	0-punct
201-7	10-nsubj	0-nmod
201-8	9-case	7-nmod
201-9	7-nmod	8-nmod
201-10	1-dep	9-nmod
201-11	13-case	10-nmod
201-12	13-det	40-root
201-13	10-nmod	12-nmod
201-14	13-punct	13-punct
201-15	30-nsubj	16-mark
201-16	19-case	13-nmod
201-17	19-det	40-root
201-18	19-dep	17-nmod
201-19	30-nmod	18-nmod
201-20	28-case	19-nmod
201-21	28-det	20-nmod
201-22	28-dep	21-nmod
201-23	28-punct	21-punct
201-24	25-det	40-root
201-25	28-dep	24-nmod
201-26	28-dep	25-cc
201-27	28-det	25-nmod
201-28	30-nmod	27-nmod
201-29	30-aux	28-nmod
201-30	13-aux	29-nmod
201-31	32-amod	30-nmod
201-32	30-dobj	31-nmod
201-33	30-cc	24-cc
201-34	30-conj	24-nmod
201-35	36-amod	34-nmod
201-36	34-dobj	35-nmod
201-37	38-case	36-nmod
201-38	34-nmod	37-nmod
201-39	10-punct	24-punct

202-0	7-nsubj	9-root
202-1	0-name	0-nmod
202-2	0-name	0-nmod
202-3	7-cop	2-nmod
202-4	7-advmod	3-nmod
202-5	7-det	4-nmod
202-6	7-amod	5-nmod
202-7	9-root	6-nmod
202-8	7-punct	0-punct

203-0	9-root	1-cc
203-1	0-conj	9-root
203-2	1-name	1-nmod
203-3	1-punct	1-punct
203-4	1-dep	6-discourse
203-5	4-list	4-discourse
203-6	5-list	1-discourse
203-7	0-punct	1-punct
203-8	0-punct	1-punct

204-0	4-case	36-root
204-1	3-dep	0-nmod
204-2	3-det	1-nmod
204-3	4-nmodCOLposs	2-nmod
204-4	18-nmod	3-nmod
204-5	6-case	4-nmod
204-6	4-nmod	4-nmod
204-7	6-cc	0-cc
204-8	9-amod	0-nmod
204-9	6-conj	8-nmod
204-10	18-cop	9-nmod
204-11	14-det	10-nmod
204-12	14-amod	11-nmod
204-13	14-amod	12-nmod
204-14	18-nsubj	13-nmod
204-15	18-advmod	14-nmod
204-16	17-advmod	17-advmod
204-17	18-advmod	18-advmod
204-18	36-root	0-nmod
204-19	29-case	36-root
204-20	29-det	19-nmod
204-21	29-dep	20-nmod
204-22	29-punct	19-punct
204-23	29-dep	19-nmod
204-24	23-name	23-nmod
204-25	26-punct	19-punct
204-26	23-nummod	19-nummod
204-27	26-punct	26-punct
204-28	29-dep	26-cc
204-29	18-nmod	26-nmod
204-30	33-punct	26-punct
204-31	33-name	26-nmod
204-32	31-cc	31-cc
204-33	29-appos	31-nmod
204-34	33-name	33-nmod
204-35	18-punct	19-punct

205-0	1-nsubj	28-root
205-1	28-root	0-nmod
205-2	1-advmod	1-nmod
205-3	1-advmod	2-nmod
205-4	1-dobj	3-nmod
205-5	4-nmod	4-nmod
205-6	5-dep	5-nmod
205-7	6-nmodCOLloc	5-nmod
205-8	10-case	7-nmod
205-9	10-det	8-nmod
205-10	7-nmod	9-nmod
205-11	19-punct	0-punct
205-12	19-mark	13-mark
205-13	19-nsubj	0-nmod
205-14	13-dep	13-nmod
205-15	17-case	14-nmod
205-16	17-det	28-root
205-17	19-nmod	16-nmod
205-18	15-compoundCOLprt	17-nmod
205-19	1-dep	18-nmod
205-20	24-punct	16-punct
205-21	24-mark	22-mark
205-22	24-nsubj	16-nmod
205-23	24-aux	22-nmod
205-24	19-dobj	23-nmod
205-25	26-case	28-root
205-26	24-nmod	25-nmod
205-27	1-punct	25-punct

206-0	1-advmod	9-root
206-1	9-root	0-nmod
206-2	1-nsubj	1-nmod
206-3	2-dep	2-nmod
206-4	1-advmod	0-advmod
206-5	4-cc	4-cc
206-6	4-conj	4-advmod
206-7	1-dobj	6-nmod
206-8	1-punct	0-punct

207-0	2-punct	1-punct
207-1	2-nsubj	12-root
207-2	12-root	1-nmod
207-3	2-punct	1-punct
207-4	2-cc	1-cc
207-5	7-nsubj	1-nmod
207-6	5-dep	5-nmod
207-7	2-conj	6-nmod
207-8	2-dobj	7-nmod
207-9	10-case	8-nmod
207-10	8-nmod	9-nmod
207-11	2-punct	1-punct

208-0	3-nsubj	1-expl
208-1	3-cop	24-root
208-2	3-advmod	1-nmod
208-3	18-amod	2-nmod
208-4	3-punct	1-punct
208-5	8-nsubj	1-nmod
208-6	8-neg	5-nmod
208-7	8-advmod	6-nmod
208-8	0-dep	7-nmod
208-9	8-dobj	8-nmod
208-10	8-cc	1-cc
208-11	8-conj	1-nmod
208-12	11-dobj	11-nmod
208-13	11-dep	24-root
208-14	15-amod	24-root
208-15	13-dep	14-nmod
208-16	8-punct	14-punct
208-17	3-punct	14-punct
208-18	24-root	14-nmod
208-19	18-nsubj	18-nmod
208-20	19-name	19-nmod
208-21	22-punct	14-punct
208-22	19-nummod	14-nummod
208-23	18-punct	14-punct

209-0	2-case	1-advmodCOLemph
209-1	2-amod	30-root
209-2	3-nmod	1-nmod
209-3	30-root	2-nmod
209-4	3-nsubj	3-nmod
209-5	3-advmod	4-nmod
209-6	7-nummod	5-nummod
209-7	3-dep	6-nmod
209-8	9-case	30-root
209-9	3-nmod	8-nmod
209-10	9-dep	9-nmod
209-11	12-punct	8-punct
209-12	3-dep	8-nmod
209-13	12-dep	12-nmod
209-14	16-auxpass	13-nmod
209-15	16-auxpass	14-nmod
209-16	13-dep	15-nmod
209-17	18-case	16-nmod
209-18	16-nmod	17-nmod
209-19	18-dep	18-nmod
209-20	19-dep	30-root
209-21	20-dep	20-nmod
209-22	12-punct	20-punct
209-23	21-dobj	20-nmod
209-24	26-nsubjpass	23-nmod
209-25	26-auxpass	24-nmod
209-26	23-aclCOLrelcl	25-nmod
209-27	28-case	26-nmod
209-28	26-nmod	26-nmod
209-29	3-punct	20-punct

210-0	11-root	2-cc
210-1	3-nummod	2-nummod
210-2	3-amod	11-root
210-3	7-nsubj	2-nmod
210-4	6-case	5-advmodCOLemph
210-5	6-amod	3-nmod
