1-0	4-nummod	3-nummod
168-12	0-punct	2-punct

169-0	3-root	3-root
169-1	2-det	2-det
169-2	0-dobj	0-nmod

170-0	2-punct	2-punct
170-1	2-expl	2-mark
170-2	23-root	7-advcl
170-3	2-advmod	7-advmod
170-4	2-dobj	7-nsubj
170-5	7-punct	4-punct
170-6	7-nsubj	7-mark
170-7	4-aclCOLrelcl	23-root
170-8	11-punct	11-punct
170-9	11-mark	11-mark
170-10	11-nsubj	11-nsubj
170-11	7-dobj	7-ccomp
170-12	13-det	13-det
170-13	11-dobj	11-dobj
170-14	11-punct	13-punct
170-15	13-conj	11-dobj
170-16	11-cc	11-cc
170-17	11-conj	23-root
170-18	17-dobj	17-dobj
170-19	18-dep	21-advmodCOLemph
170-20	21-det	21-det
170-21	19-dep	18-nmod
170-22	2-punct	17-punct

171-0	27-root	3-advmod
171-1	14-dep	3-case
171-2	1-dep	3-mark
171-3	2-dep	25-cop
171-4	6-det	6-det
171-5	6-amod	6-amod
171-6	3-dobj	3-dobj
171-7	3-cc	3-cc
171-8	3-conj	25-cop
171-9	8-dobj	8-dobj
171-10	12-case	12-case
171-11	12-amod	12-amod
171-12	9-nmod	9-nmod
171-13	1-punct	8-punct
171-14	0-dep	8-conj
171-15	14-nsubj	24-nsubj
171-16	14-advmod	19-advmod
171-17	19-det	19-det
171-18	19-amod	19-amod
171-19	14-dobj	24-nsubj
171-20	14-dep	19-nmod
171-21	24-punct	24-punct
171-22	24-mark	24-mark
171-23	24-nsubj	24-nsubj
171-24	14-dep	25-cop
171-25	24-dobj	27-root
171-26	0-punct	25-punct

172-0	1-nsubj	1-nsubj
172-1	4-root	4-root
172-2	1-dobj	1-nmod
172-3	1-punct	1-punct

173-0	10-root	4-cc
173-1	7-nsubj	4-nsubj
173-2	7-cop	4-aux
173-3	7-advmod	4-advmod
173-4	0-conj	10-root
173-5	7-punct	10-punct
173-6	7-neg	10-root
173-7	4-cop	8-aux
173-8	0-punct	6-punct
173-9	0-punct	6-punct

174-0	2-nsubj	1-name
174-1	0-name	2-nsubj
174-2	29-root	29-root
174-3	6-det	6-det
174-4	6-det	6-det
174-5	6-amod	6-amod
174-6	2-dobj	2-nmod
174-7	10-case	8-case
174-8	10-nmod	16-nsubj
174-9	10-nmodCOLposs	16-nmod
174-10	6-nmod	9-nmod
174-11	6-punct	10-punct
174-12	16-punct	9-punct
174-13	15-case	15-case
174-14	15-det	15-det
174-15	16-nmod	9-nmod
174-16	6-dep	2-conj
174-17	16-nsubj	20-nsubj
174-18	20-det	20-det
174-19	20-amod	20-amod
174-20	16-dobj	16-dobj
174-21	20-punct	20-punct
174-22	25-nsubj	27-advmodCOLemph
174-23	25-advmod	27-advmod
174-24	25-cop	27-aux
174-25	20-cop	27-aux
174-26	27-mark	27-case
174-27	25-dep	20-nmod
174-28	16-punct	2-punct

175-0	1-punct	1-punct
175-1	10-dep	7-cop
175-2	1-vocative	1-nmod
175-3	1-punct	1-punct
175-4	7-cop	7-aux
175-5	7-nsubj	7-nsubj
175-6	7-neg	7-advmod
175-7	1-conj	13-root
175-8	7-punct	7-punct
175-9	1-punct	7-punct
175-10	13-root	7-conj
175-11	10-nsubj	10-dobj
175-12	10-punct	7-punct

176-0	1-dobj	1-nsubj
176-1	30-root	30-root
176-2	1-nsubj	1-dobj
176-3	1-neg	1-advmod
176-4	1-punct	6-punct
176-5	6-nsubj	6-nsubj
176-6	1-conj	1-ccomp
176-7	9-det	9-det
176-8	9-det	9-det
176-9	6-dobj	6-dobj
176-10	6-punct	6-punct
176-11	6-cc	6-cc
176-12	13-nsubj	13-nsubj
176-13	6-conj	6-conj
176-14	13-dobj	18-nsubj
176-15	16-case	16-case
176-16	13-nmod	18-nsubj
176-17	6-cc	16-cc
176-18	6-conj	13-advcl
176-19	18-punct	18-punct
176-20	21-punct	18-punct
176-21	18-dep	30-root
176-22	21-vocative	21-dobj
176-23	21-punct	25-punct
176-24	25-nsubj	25-nsubj
176-25	21-conj	21-ccomp
176-26	27-det	27-det
176-27	25-dobj	25-dobj
176-28	21-punct	27-punct
176-29	21-punct	21-punct

177-0	4-nsubj	4-nsubj
177-1	4-aux	4-aux
177-2	4-cop	4-aux
177-3	4-nummod	4-nummod
177-4	22-root	8-nsubj
177-5	8-punct	8-punct
177-6	8-mark	8-mark
177-7	8-nsubj	8-nsubj
177-8	4-dep	22-root
177-9	10-det	10-det
177-10	8-dobj	8-dobj
177-11	14-case	14-case
177-12	14-det	14-det
177-13	14-amod	14-amod
177-14	10-nmod	10-nmod
177-15	16-case	16-case
177-16	8-nmod	14-nmod
177-17	8-punct	16-punct
177-18	16-appos	19-name
177-19	18-dep	16-nmod
177-20	18-punct	16-punct
177-21	4-punct	8-punct

178-0	1-det	1-det
178-1	3-nsubj	7-nmod
178-2	3-cop	7-aux
178-3	16-root	5-name
178-4	3-name	5-name
178-5	3-name	7-nsubj
178-6	3-punct	5-punct
178-7	3-dep	16-root
178-8	9-amod	9-amod
178-9	7-nmodCOLtemp	7-nmod
178-10	9-nmod	9-nummod
178-11	13-case	12-case
178-12	13-nmodCOLposs	16-root
178-13	7-nmod	16-root
178-14	13-appos	13-nmod
178-15	3-punct	13-punct

179-0	75-root	2-cc
179-1	2-advmod	2-advmod
179-2	0-conj	75-root
179-3	2-nsubj	13-nsubj
179-4	2-advmod	7-advmod
179-5	7-det	7-det
179-6	7-amod	7-amod
179-7	2-dobj	13-nsubj
179-8	2-dep	9-case
179-9	8-nummod	7-nummod
179-10	13-punct	13-punct
179-11	13-advmod	13-advmod
179-12	13-nsubj	13-nsubj
179-13	9-aclCOLrelcl	2-conj
179-14	15-det	15-det
179-15	13-dobj	13-nmod
179-16	18-case	18-case
179-17	13-punct	18-punct
179-18	13-nmod	19-name
179-19	18-dep	13-nmod
179-20	18-punct	19-punct
179-21	13-punct	13-punct
179-22	2-cc	13-cc
179-23	53-nsubj	13-dobj
179-24	26-case	27-case
179-25	26-advmod	27-advmod
179-26	23-nmod	27-name
179-27	26-name	23-nmod
179-28	26-punct	23-punct
179-29	26-conj	30-name
179-30	29-dep	23-nmod
179-31	26-punct	23-punct
179-32	26-conj	23-nmod
179-33	26-punct	23-punct
179-34	26-conj	35-name
179-35	34-dep	23-nmod
179-36	26-punct	23-punct
179-37	26-conj	38-name
179-38	37-dep	23-nmod
179-39	26-punct	23-punct
179-40	26-conj	42-name
179-41	40-dep	42-name
179-42	40-dep	23-nmod
179-43	26-cc	42-cc
179-44	46-nmodCOLposs	53-nsubj
179-45	44-name	53-nsubj
179-46	26-conj	53-nsubj
179-47	44-appos	48-name
179-48	47-name	46-nmod
179-49	53-aux	53-aux
179-50	53-advmod	53-advmod
179-51	52-advmod	53-advmod
179-52	53-advmod	53-advmod
179-53	2-conj	13-conj
179-54	53-dobj	58-nsubj
179-55	56-case	56-case
179-56	53-nmod	58-nsubj
179-57	53-cc	56-cc
179-58	53-conj	53-ccomp
179-59	58-advmod	58-advmod
179-60	59-cc	58-cc
179-61	59-conj	58-advmod
179-62	58-dep	68-case
179-63	68-punct	68-punct
179-64	68-mark	68-mark
179-65	68-nsubj	67-name
179-66	65-name	67-name
179-67	65-name	68-nsubj
179-68	62-dep	2-ccomp
179-69	70-case	70-case
179-70	68-nmod	68-dobj
179-71	68-advmod	73-advmod
179-72	71-dep	73-case
179-73	72-nummod	70-nummod
179-74	0-punct	2-punct

180-0	3-nmodCOLposs	2-name
180-1	0-name	2-name
180-2	0-name	20-root
180-3	18-nsubj	20-root
180-4	6-case	6-case
180-5	6-det	6-det
180-6	3-nmod	3-nmod
180-7	0-dep	8-advmodCOLemph
180-8	7-dep	6-nmod
180-9	7-cc	8-cc
180-10	11-advmod	18-advmod
180-11	7-conj	18-mark
180-12	11-dep	18-nsubj
180-13	18-aux	18-aux
180-14	18-cop	18-aux
180-15	16-det	16-det
180-16	18-amod	18-amod
180-17	16-dep	18-case
180-18	20-root	8-amod
180-19	18-punct	3-punct

181-0	2-nsubj	1-name
181-1	0-name	2-nsubj
181-2	32-root	32-root
181-3	7-det	4-det
181-4	6-advmod	2-advmod
181-5	4-punct	2-punct
181-6	7-amod	7-amod
181-7	2-dobj	2-dobj
181-8	7-punct	7-punct
181-9	27-dep	11-advmodCOLemph
181-10	23-nsubj	11-name
181-11	10-name	7-nmod
181-12	10-cc	11-cc
181-13	10-conj	32-root
181-14	13-appos	15-name
181-15	14-name	13-nmod
181-16	14-cc	15-cc
181-17	14-conj	18-name
181-18	17-name	13-nmod
181-19	20-case	20-case
181-20	13-nmod	21-name
181-21	20-dep	13-nmod
181-22	23-aux	30-aux
181-23	7-aux	30-aux
181-24	23-advmod	26-advmod
181-25	24-cc	24-cc
181-26	24-conj	30-advmod
181-27	23-dep	30-case
181-28	30-case	30-case
181-29	30-nummod	30-nummod
181-30	23-nmod	13-nmod
181-31	2-punct	13-punct

182-0	13-root	13-root
182-1	3-nsubj	13-root
182-2	1-amod	13-root
182-3	0-conj	2-conj
182-4	3-punct	6-punct
182-5	6-nsubj	6-nsubj
182-6	3-dep	2-conj
182-7	6-dobj	6-dobj
182-8	10-advmod	9-advmod
182-9	10-advmod	11-advmod
182-10	11-case	11-case
182-11	6-nmod	7-nmod
182-12	0-punct	2-punct

183-0	1-amod	1-amod
183-1	3-nsubj	3-nsubj
183-2	3-aux	3-aux
183-3	14-root	14-root
183-4	3-punct	3-punct
183-5	3-conj	3-ccomp
183-6	3-punct	5-punct
183-7	3-conj	3-ccomp
183-8	3-cc	7-cc
183-9	3-conj	3-ccomp
183-10	11-case	11-case
183-11	3-nmod	12-nsubj
183-12	11-dep	9-nmod
183-13	3-punct	3-punct

184-0	3-nsubj	3-nsubj
184-1	3-cop	3-aux
184-2	3-det	3-det
184-3	7-root	7-root
184-4	3-cc	3-cc
184-5	3-conj	3-nmod
184-6	3-punct	3-punct

185-0	1-det	5-det
185-1	5-root	5-root
185-2	3-nsubj	3-nsubj
185-3	1-aux	1-aux
185-4	1-punct	1-punct

186-0	1-case	1-case
186-1	2-nmod	2-nmod
186-2	11-root	11-root
186-3	2-expl	8-advmodCOLemph
186-4	2-advmod	8-advmod
186-5	9-case	8-case
186-6	8-det	8-det
186-7	8-amod	8-amod
186-8	9-nmodCOLposs	11-root
186-9	2-nmod	8-nmod
186-10	2-punct	8-punct

187-0	1-nsubj	1-nsubj
187-1	14-root	14-root
187-2	1-dobj	14-root
187-3	5-case	14-root
187-4	5-dep	14-root
187-5	1-nmod	4-dobj
187-6	9-punct	9-punct
187-7	9-mark	9-mark
187-8	9-nsubj	9-nsubj
187-9	1-dep	14-root
187-10	9-dobj	9-dobj
187-11	12-case	12-case
187-12	9-nmod	10-nmod
187-13	1-punct	9-punct

188-0	1-advmod	1-advmod
188-1	24-root	24-root
188-2	1-nsubj	6-nsubj
188-3	1-dobj	6-nsubj
188-4	1-dep	6-case
188-5	4-dep	6-mark
188-6	5-dep	1-ccomp
188-7	8-advmod	8-advmod
188-8	9-amod	9-amod
188-9	6-dobj	6-dobj
188-10	1-punct	6-punct
188-11	1-conj	1-ccomp
188-12	11-dobj	11-dobj
188-13	1-cc	11-cc
188-14	1-conj	24-root
188-15	14-dobj	14-dobj
188-16	17-case	17-case
188-17	14-nmod	15-nmod
188-18	17-dep	20-case
188-19	18-dep	20-mark
188-20	19-dep	14-ccomp
188-21	22-case	22-case
188-22	20-nmod	20-nmod
188-23	1-punct	14-punct

189-0	1-nmod	1-nsubj
189-1	26-root	26-root
189-2	1-expl	26-root
189-3	1-dep	8-case
189-4	5-advmod	8-advmod
189-5	3-advmod	8-advmod
189-6	1-neg	8-advmod
189-7	8-det	8-det
189-8	1-dobj	26-root
189-9	0-case	26-root
189-10	11-punct	26-punct
189-11	1-dep	26-root
189-12	16-mark	16-mark
189-13	16-nsubj	16-nmod
189-14	16-advmod	16-advmod
189-15	16-aux	16-aux
189-16	11-dep	26-root
189-17	16-dobj	18-amod
189-18	17-dep	16-dobj
189-19	20-case	20-case
189-20	18-nmod	18-nmod
189-21	22-mark	24-case
189-22	24-case	24-case
189-23	24-amod	24-amod
189-24	17-nmod	20-nmod
189-25	1-punct	16-punct

190-0	1-advmod	1-advmod
190-1	29-root	29-root
190-2	4-det	4-det
190-3	4-amod	4-amod
190-4	1-nsubj	1-dobj
190-5	8-case	8-case
190-6	8-det	8-det
190-7	8-amod	8-amod
190-8	4-nmod	4-nmod
190-9	4-dep	14-case
190-10	11-det	14-det
190-11	9-amod	14-amod
190-12	14-det	14-det
190-13	14-amod	14-amod
190-14	1-dobj	8-nmod
190-15	1-punct	1-punct
190-16	1-conj	1-cc
190-17	18-nsubj	18-nsubj
190-18	16-conj	1-ccomp
190-19	18-advmod	23-advmod
190-20	21-advmod	23-advmod
190-21	18-neg	23-advmod
190-22	18-dep	23-mark
190-23	22-dep	1-ccomp
190-24	27-case	27-case
190-25	27-det	27-det
190-26	27-amod	27-amod
190-27	18-nmod	23-nmod
190-28	1-punct	1-punct

191-0	4-nsubj	8-root
191-1	4-cop	8-root
191-2	4-det	4-det
191-3	4-amod	4-amod
191-4	8-root	8-root
191-5	6-case	6-case
191-6	4-nmod	4-nmod
191-7	4-punct	4-punct

192-0	4-nsubj	8-nsubj
192-1	0-nmod	8-nsubj
192-2	4-cop	8-aux
192-3	4-advmod	4-advmod
192-4	20-root	8-nsubj
192-5	8-punct	8-punct
192-6	8-nsubj	8-nsubj
192-7	8-advmod	8-advmod
192-8	4-aclCOLrelcl	20-root
192-9	8-dep	15-case
192-10	15-punct	15-punct
192-11	15-advmod	15-advmod
192-12	15-det	15-det
192-13	15-dep	12-cc
192-14	15-det	15-det
192-15	4-appos	8-dobj
192-16	15-dep	18-advmodCOLemph
192-17	18-amod	18-amod
192-18	16-dep	15-nmod
192-19	4-punct	8-punct

193-0	4-nsubj	9-nsubj
193-1	4-cop	9-aux
193-2	4-neg	3-advmod
193-3	4-amod	4-amod
193-4	18-root	9-nsubj
193-5	6-case	6-case
193-6	4-nmod	9-nsubj
193-7	6-dep	9-nsubj
193-8	0-dep	9-mark
193-9	8-dep	18-root
193-10	14-punct	14-punct
193-11	14-mark	14-mark
193-12	14-nsubj	14-nsubj
193-13	14-advmod	14-advmod
193-14	9-dobj	9-ccomp
193-15	16-det	16-det
193-16	14-dobj	14-nmod
193-17	4-punct	9-punct

194-0	8-root	1-cc
194-1	0-conj	8-root
194-2	1-dobj	3-nsubj
194-3	1-dep	1-ccomp
194-4	6-det	6-det
194-5	6-amod	6-amod
194-6	3-dobj	3-nmod
194-7	0-punct	1-punct

195-0	1-amod	1-amod
195-1	2-nsubj	2-nsubj
195-2	9-dep	12-root
195-3	2-neg	6-advmod
195-4	2-dep	6-case
195-5	4-dep	6-mark
195-6	5-dep	2-ccomp
195-7	6-dep	6-advmod
195-8	2-punct	6-punct
195-9	12-root	12-root
195-10	9-nsubj	9-nmod
195-11	9-punct	9-punct

196-0	7-punct	2-punct
196-1	3-advmod	2-advmod
196-2	5-dep	21-ccomp
196-3	2-cc	2-cc
196-4	2-conj	21-ccomp
196-5	7-nsubj	7-nsubj
196-6	7-aux	7-aux
196-7	21-dep	21-ccomp
196-8	7-dobj	7-dobj
196-9	12-case	12-case
196-10	12-det	12-det
196-11	12-amod	12-amod
196-12	8-nmod	8-nmod
196-13	14-case	14-case
196-14	12-nmod	12-nmod
196-15	14-cc	14-cc
196-16	14-conj	14-nmod
196-17	18-case	18-case
196-18	14-nmod	16-nmod
196-19	7-punct	7-punct
196-20	7-punct	7-punct
196-21	26-root	26-root
196-22	21-nsubj	24-name
196-23	22-name	24-name
196-24	22-name	21-nmod
196-25	21-punct	21-punct

197-0	1-case	1-case
197-1	45-root	8-nsubj
197-2	1-cc	1-cc
197-3	1-conj	1-nmod
197-4	5-case	5-case
197-5	0-nmod	3-nmod
197-6	8-punct	1-punct
197-7	8-nsubj	8-mark
197-8	5-aclCOLrelcl	45-root
197-9	8-advmod	8-advmod
197-10	11-case	11-case
197-11	9-nmod	8-dobj
197-12	13-case	13-case
197-13	11-nmod	11-nmod
197-14	13-cc	13-cc
197-15	13-conj	13-nmod
197-16	20-case	20-case
197-17	8-punct	20-punct
197-18	20-det	20-det
197-19	20-amod	20-amod
197-20	8-nmod	15-nmod
197-21	22-case	22-case
197-22	20-nmod	20-nmod
197-23	20-punct	8-punct
197-24	25-nsubj	25-mark
197-25	20-dep	8-ccomp
197-26	25-advmod	29-advmod
197-27	26-dep	29-case
197-28	27-dep	29-mark
197-29	28-dep	8-ccomp
197-30	33-advmod	45-root
197-31	33-det	33-det
197-32	33-amod	33-amod
197-33	29-dobj	45-root
197-34	29-dep	37-neg
197-35	40-det	37-det
197-36	37-advmod	37-advmod
197-37	40-amod	33-amod
197-38	40-punct	40-punct
197-39	40-advmod	40-advmod
197-40	34-amod	33-amod
197-41	40-cc	40-cc
197-42	40-conj	40-conj
197-43	20-punct	42-punct
197-44	0-punct	33-punct

198-0	3-punct	3-punct
198-1	3-nsubj	3-nsubj
198-2	3-aux	3-aux
198-3	12-root	12-root
198-4	6-det	6-det
198-5	6-amod	6-amod
198-6	3-dobj	3-dobj
198-7	8-case	8-case
198-8	6-nmod	6-nmod
198-9	8-cc	8-cc
198-10	8-conj	8-nmod
198-11	3-punct	3-punct

199-0	1-det	1-det
199-1	38-dep	5-nmod
199-2	1-punct	5-punct
199-3	5-advmod	5-advmod
199-4	5-nsubj	5-nmod
199-5	1-dep	41-root
199-6	5-dobj	10-nsubj
199-7	5-dep	10-advmod
199-8	5-dep	10-case
199-9	8-dep	10-mark
199-10	9-dep	5-ccomp
199-11	12-advmod	12-advmod
199-12	13-amod	13-amod
199-13	10-dobj	10-dobj
199-14	18-punct	18-punct
199-15	18-mark	18-mark
199-16	18-nsubj	18-nsubj
199-17	18-advmod	18-advmod
199-18	11-dep	5-ccomp
199-19	20-case	20-case
199-20	18-nmod	18-dobj
199-21	20-dep	22-case
199-22	23-advmod	24-advmod
199-23	21-dep	24-mark
199-24	23-dep	18-advcl
199-25	18-punct	38-punct
199-26	24-dobj	38-dobj
199-27	31-nsubj	29-advmodCOLemph
199-28	29-case	29-case
199-29	31-nmod	38-nmod
199-30	31-cop	31-aux
199-31	26-aclCOLrelcl	29-nmod
199-32	31-cc	31-cc
199-33	31-conj	31-nmod
199-34	35-case	35-case
199-35	31-nmod	33-nmod
199-36	31-punct	29-punct
199-37	1-punct	29-punct
199-38	41-root	41-root
199-39	38-nsubj	38-nmod
199-40	38-punct	38-punct

200-0	1-expl	1-mark
200-1	10-root	10-root
200-2	1-dobj	3-advmod
200-3	2-amod	6-amod
200-4	6-case	6-case
200-5	6-amod	6-amod
200-6	3-nmod	1-dobj
200-7	8-case	8-case
200-8	1-nmod	6-nmod
200-9	1-punct	1-punct

201-0	1-nsubj	1-nsubj
201-1	40-root	40-root
201-2	4-det	4-det
201-3	4-amod	4-amod
201-4	1-dobj	1-dobj
201-5	1-punct	4-punct
201-6	10-punct	4-punct
201-7	10-nsubj	4-nmod
201-8	9-case	9-case
201-9	7-nmod	10-nsubj
201-10	1-dep	1-ccomp
201-11	13-case	13-case
201-12	13-det	13-det
201-13	10-nmod	10-dobj
201-14	13-punct	13-punct
201-15	30-nsubj	40-root
201-16	19-case	40-root
201-17	19-det	18-det
201-18	19-dep	40-root
201-19	30-nmod	18-dobj
201-20	28-case	22-case
201-21	28-det	22-det
201-22	28-dep	19-nmod
201-23	28-punct	18-punct
201-24	25-det	25-det
201-25	28-dep	18-dobj
201-26	28-dep	25-cc
201-27	28-det	28-det
201-28	30-nmod	34-nmod
201-29	30-aux	34-aux
201-30	13-aux	34-aux
201-31	32-amod	32-amod
201-32	30-dobj	34-nmod
201-33	30-cc	32-cc
201-34	30-conj	40-root
201-35	36-amod	36-amod
201-36	34-dobj	34-dobj
201-37	38-case	38-case
201-38	34-nmod	36-nmod
201-39	10-punct	34-punct

202-0	7-nsubj	2-name
202-1	0-name	2-name
202-2	0-name	7-nsubj
202-3	7-cop	7-aux
202-4	7-advmod	7-advmod
202-5	7-det	7-det
202-6	7-amod	7-amod
202-7	9-root	9-root
202-8	7-punct	7-punct

203-0	9-root	2-cc
203-1	0-conj	2-name
203-2	1-name	9-root
203-3	1-punct	2-punct
203-4	1-dep	9-root
203-5	4-list	9-root
203-6	5-list	9-root
203-7	0-punct	6-punct
203-8	0-punct	6-punct

204-0	4-case	3-case
204-1	3-dep	0-mwe
204-2	3-det	3-det
204-3	4-nmodCOLposs	36-root
204-4	18-nmod	3-nmod
204-5	6-case	6-case
204-6	4-nmod	4-nmod
204-7	6-cc	6-cc
204-8	9-amod	9-amod
204-9	6-conj	3-nmod
204-10	18-cop	36-root
204-11	14-det	14-det
204-12	14-amod	14-amod
204-13	14-amod	14-amod
204-14	18-nsubj	36-root
204-15	18-advmod	18-advmod
204-16	17-advmod	18-advmod
204-17	18-advmod	18-advmod
204-18	36-root	21-advmod
204-19	29-case	21-case
204-20	29-det	21-det
204-21	29-dep	14-conj
204-22	29-punct	21-punct
204-23	29-dep	24-name
204-24	23-name	21-nmod
204-25	26-punct	21-punct
204-26	23-nummod	21-nummod
204-27	26-punct	14-punct
204-28	29-dep	14-cc
204-29	18-nmod	14-conj
204-30	33-punct	29-punct
204-31	33-name	29-nmod
204-32	31-cc	31-cc
204-33	29-appos	34-name
204-34	33-name	29-nmod
204-35	18-punct	14-punct

205-0	1-nsubj	1-nsubj
205-1	28-root	19-advcl
205-2	1-advmod	6-advmod
205-3	1-advmod	6-advmod
205-4	1-dobj	6-nsubj
205-5	4-nmod	6-mark
205-6	5-dep	1-ccomp
205-7	6-nmodCOLloc	10-advmod
205-8	10-case	10-case
205-9	10-det	10-det
205-10	7-nmod	6-dobj
205-11	19-punct	19-punct
205-12	19-mark	19-mark
205-13	19-nsubj	19-nsubj
205-14	13-dep	19-nsubj
205-15	17-case	17-case
205-16	17-det	17-det
205-17	19-nmod	14-nmod
205-18	15-compoundCOLprt	19-advmod
205-19	1-dep	28-root
205-20	24-punct	24-punct
205-21	24-mark	24-mark
205-22	24-nsubj	24-nsubj
205-23	24-aux	24-aux
205-24	19-dobj	19-ccomp
205-25	26-case	26-case
205-26	24-nmod	24-nmod
205-27	1-punct	19-punct

206-0	1-advmod	1-advmod
206-1	9-root	9-root
206-2	1-nsubj	9-root
206-3	2-dep	9-root
206-4	1-advmod	7-advmod
206-5	4-cc	4-cc
206-6	4-conj	7-advmod
206-7	1-dobj	3-nmod
206-8	1-punct	3-punct

207-0	2-punct	2-punct
207-1	2-nsubj	2-nsubj
207-2	12-root	12-root
207-3	2-punct	2-punct
207-4	2-cc	2-cc
207-5	7-nsubj	7-nsubj
207-6	5-dep	7-nsubj
207-7	2-conj	12-root
207-8	2-dobj	7-nmod
207-9	10-case	10-case
207-10	8-nmod	8-nmod
207-11	2-punct	7-punct

208-0	3-nsubj	3-nsubj
208-1	3-cop	3-aux
208-2	3-advmod	3-advmod
208-3	18-amod	18-ccomp
208-4	3-punct	3-punct
208-5	8-nsubj	8-nsubj
208-6	8-neg	8-advmod
208-7	8-advmod	8-advmod
208-8	0-dep	3-cop
208-9	8-dobj	8-nmod
208-10	8-cc	8-cc
208-11	8-conj	18-ccomp
208-12	11-dobj	15-nsubj
208-13	11-dep	15-advmodCOLemph
208-14	15-amod	15-amod
208-15	13-dep	11-dobj
208-16	8-punct	11-punct
208-17	3-punct	11-punct
208-18	24-root	24-root
208-19	18-nsubj	20-name
208-20	19-name	18-nmod
208-21	22-punct	18-punct
208-22	19-nummod	18-conj
208-23	18-punct	18-punct

209-0	2-case	2-case
209-1	2-amod	2-amod
209-2	3-nmod	3-nmod
209-3	30-root	30-root
209-4	3-nsubj	3-nmod
209-5	3-advmod	7-advmod
209-6	7-nummod	7-nummod
209-7	3-dep	4-nmod
209-8	9-case	9-case
209-9	3-nmod	7-nmod
209-10	9-dep	7-nmod
209-11	12-punct	3-punct
209-12	3-dep	16-case
209-13	12-dep	16-mark
209-14	16-auxpass	16-aux
209-15	16-auxpass	16-aux
209-16	13-dep	3-ccomp
209-17	18-case	18-case
209-18	16-nmod	16-dobj
209-19	18-dep	21-case
209-20	19-dep	21-mark
209-21	20-dep	3-ccomp
209-22	12-punct	21-punct
209-23	21-dobj	26-advmod
209-24	26-nsubjpass	26-nsubj
209-25	26-auxpass	26-aux
209-26	23-aclCOLrelcl	3-ccomp
209-27	28-case	28-case
209-28	26-nmod	26-nmod
209-29	3-punct	3-punct

210-0	11-root	3-cc
210-1	3-nummod	3-nummod
210-2	3-amod	3-amod
210-3	7-nsubj	7-nsubj
210-4	6-case	6-case
210-5	6-amod	6-amod
210-6	3-nmod	3-nmod
210-7	0-conj	11-root
210-8	7-advmod	9-advmod
210-9	7-dobj	7-nmod
210-10	0-punct	7-punct

211-0	19-root	2-cc
211-1	2-dep	2-nsubj
211-2	0-conj	19-root
211-3	4-det	4-det
211-4	2-nsubj	6-amod
211-5	6-case	6-case
211-6	4-nmod	2-nmod
211-7	2-advmod	10-advmod
211-8	10-advmod	10-advmod
211-9	10-det	10-det
211-10	2-dobj	2-dobj
211-11	15-case	19-root
211-12	15-det	14-det
211-13	14-advmod	14-advmod
211-14	15-dep	19-root
211-15	10-nmod	14-nmod
211-16	17-case	17-case
211-17	15-nmod	15-nmod
211-18	0-punct	14-punct

212-0	4-case	1-case
212-1	4-nmodCOLposs	2-name
212-2	1-name	11-nsubj
212-3	1-amod	4-amod
212-4	11-nmod	11-nmod
212-5	6-case	6-case
212-6	4-nmod	4-nmod
212-7	11-aux	11-aux
212-8	11-nsubj	11-nmod
212-9	10-case	10-case
212-10	8-nmod	8-nmod
212-11	28-root	28-root
212-12	11-dobj	11-dobj
212-13	11-advmod	17-advmod
212-14	17-case	17-case
212-15	17-det	17-det
212-16	17-amod	17-amod
212-17	13-nmod	12-nmod
212-18	17-punct	17-punct
212-19	26-dep	28-root
212-20	24-nsubj	28-root
212-21	22-case	22-case
212-22	20-nmod	20-nmod
212-23	24-aux	28-root
212-24	17-aux	28-root
212-25	24-advmod	26-advmod
212-26	25-dep	28-root
212-27	11-punct	26-punct

213-0	3-nsubj	3-nsubj
213-1	3-aux	3-aux
213-2	3-advmod	3-advmod
213-3	17-root	17-root
213-4	6-case	6-case
213-5	6-amod	6-amod
213-6	3-nmod	3-dobj
213-7	8-case	8-case
213-8	3-nmod	6-nmod
213-9	8-dep	13-case
213-10	9-dep	13-mark
213-11	13-auxpass	13-aux
213-12	13-auxpass	13-aux
213-13	10-dep	3-ccomp
213-14	15-case	15-case
213-15	13-nmod	13-nmod
213-16	3-punct	3-punct

214-0	5-dobj	1-nsubj
214-1	11-root	11-root
214-2	1-nsubj	1-dobj
214-3	1-punct	5-punct
214-4	5-nsubj	5-nsubj
214-5	1-dep	1-ccomp
214-6	9-case	9-case
214-7	9-det	9-det
214-8	9-amod	9-amod
214-9	5-nmod	5-nmod
214-10	1-punct	1-punct

215-0	1-nsubj	1-nsubj
215-1	37-root	37-root
215-2	1-punct	1-punct
215-3	4-nsubj	4-nmod
215-4	1-dep	1-conj
215-5	4-dobj	11-nsubj
215-6	4-advmod	11-advmod
215-7	11-punct	11-punct
215-8	11-mark	11-mark
215-9	11-nsubj	11-nsubj
215-10	11-neg	11-advmod
215-11	4-dep	1-conj
215-12	11-dobj	13-mark
215-13	12-dep	1-ccomp
215-14	15-det	15-det
215-15	13-dobj	13-dobj
215-16	11-punct	15-punct
215-17	20-nsubj	20-mark
215-18	20-advmod	20-advmod
215-19	20-neg	20-advmod
215-20	15-dep	37-root
215-21	23-amod	23-amod
215-22	23-amod	23-amod
215-23	20-dobj	20-dobj
215-24	23-dep	26-advmodCOLemph
